Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Get all files that a user has sent over the time,Very low,Idea 🧠,Not Started,,,,,,,0,0,"August 1, 2022 11:01 PM",,,,,,,,
Achievements’ system,Very low,"Idea 🧠, Improvement 🚀",Not Started,,,,,,,0,0,"August 1, 2022 4:14 PM",,,,,,,,
"When uploading file (finished chat) delete from disk. If chat is reopened, download file and keep writting",Medium,"Improvement 🚀, Task 🔨",Complete,Sprint 02,"July 31, 2022 20:06","August 1, 2022 23:05",20,Key to check for existence was invalid (.txt was not added to the search which returned false),97140,72000,25140,"July 31, 2022 8:05 PM",31/07/2022,01/08/2022,,,,,,
Update docs,Very high,Documentation 📘,Complete,Sprint 02,"August 5, 2022 19:50","August 7, 2022 17:52",,,165720,0,165720,"July 31, 2022 6:05 PM",05/08/2022,07/08/2022,,,,,,
Add a Writer to support message storage in S3. Upload files,High,"Improvement 🚀, Task 🔨",Complete,Sprint 02,"July 31, 2022 19:55","July 31, 2022 20:05",0,,600,0,600,"July 31, 2022 5:26 PM",31/07/2022,31/07/2022,,,,,,
Check token on connect to websocket,Medium,"Improvement 🚀, Security 🔒, Task 🔨",Revision,Sprint 02,"August 5, 2022 20:30","August 15, 2022 17:04",-1,,851640,0,851640,"July 31, 2022 5:23 PM",05/08/2022,15/08/2022,,,,,,
Better handling of chats with a new class,Low,Refactor 🛠️,Complete,Sprint 02,"July 31, 2022 15:45","July 31, 2022 17:22",0,,5820,0,5820,"July 31, 2022 5:21 PM",31/07/2022,31/07/2022,,,,,,
Migrate backend to spring websocket support with custom Handlers,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 30, 2022 18:42","July 31, 2022 15:00",10,Client is receiving 403 code from the server,73080,36000,37080,"July 30, 2022 6:42 PM",30/07/2022,31/07/2022,,,,,,
Migrate from Java-WebSocket lib to Jetty websockets in backend,High,"Refactor 🛠️, Task 🔨",Complete,Sprint 02,"July 29, 2022 21:03","July 30, 2022 15:59",14,Tested with an auxiliary file in frontend,68160,50400,17760,"July 29, 2022 9:02 PM",29/07/2022,30/07/2022,,,,,,
Migrate from native WebSocket to websocket library in frontend,High,"Refactor 🛠️, Task 🔨",Cancelled,Sprint 02,"July 30, 2022 16:05","July 30, 2022 17:31",,I can use the native WebSocket. 1.5 hours lost 😢,5160,0,5160,"July 29, 2022 9:01 PM",30/07/2022,30/07/2022,,,,,,
