Projects,Priority,Type,Status,Sprint,Started,Finished,Inactivity (h),Notes,Duration,Inactivity time,Active time,Created,Start date,End date,Epic,Engineers,Product Manager,Timeline,Tasks,URL
Add Report page for admins and display all the report notifications,Low,Improvement 🚀,Not Started,,,,,,,0,0,"May 8, 2023 12:42 PM",,,,,,,,
Remove the /invite command,Medium,Refactor 🛠️,Complete,Sprint 11,"May 1, 2023 13:20","May 2, 2023 13:40",0,Added the invite button in chat view,87600,0,87600,"May 1, 2023 1:22 PM",01/05/2023,02/05/2023,,,,,,
Fix bug not sending email on invitation,High,Bug 🐞,Complete,Sprint 11,"May 1, 2023 1:40","May 1, 2023 1:57",0,"Instead of using the email, it was used the username of the invetee. Used Tuple to return the chat and the user from the lambda.",1020,0,1020,"May 1, 2023 1:56 AM",01/05/2023,01/05/2023,,,,,,
Refactor Utils class to not be named like that,Low,"Documentation 📘, Refactor 🛠️",Complete,Sprint 11,"April 30, 2023 3:25","April 30, 2023 3:58",0,,1980,0,1980,"April 30, 2023 3:18 AM",30/04/2023,30/04/2023,,,,,,
Video handling with lib,UNSET,Idea 🧠,Not Started,,,,,"https://github.com/kokorin/Jaffree
https://github.com/Manevolent/ffmpeg4j",,0,0,"April 23, 2023 5:11 PM",,,,,,,,
Fix Redux localstorage modification by checking the username of the token in the backend.,Very high,Bug 🐞,Not Started,,,,,Also the storage should be changed to other with more security,,0,0,"April 19, 2023 11:56 PM",,,,,,,,
Fix error in profile view,Medium,Bug 🐞,Revision,Sprint 11,,,,,,0,0,"April 17, 2023 2:47 AM",,,,,,,,
"When inviting someone to a chat, send an email to the user to notify the invitation. The user is added to the chat immediately",Medium,Improvement 🚀,Complete,Sprint 11,"April 11, 2023 2:05","April 12, 2023 3:30",12,"Instead of a command, do a button near chat name and send a POST request. This allows to ease the process of DI and send the email to the user.",91500,43200,48300,"April 11, 2023 2:08 AM",11/04/2023,12/04/2023,,,,,,
New design when sending nsfw media,Medium,Improvement 🚀,Not Started,,,,,"The user can see the image, but other users cannot",,0,0,"April 10, 2023 6:37 PM",,,,,,,,
Send the session ip in the login and register response to identify the session in the profile view,Low,Improvement 🚀,Not Started,,,,,,,0,0,"April 10, 2023 4:23 PM",,,,,,,,
"Improve session display in frontend (show dates, and the index is the id of the session)",Medium,Improvement 🚀,Complete,Sprint 10,"April 10, 2023 14:52","April 10, 2023 17:03",0,,7860,0,7860,"April 10, 2023 2:51 PM",10/04/2023,10/04/2023,,,,,,
Do not store empty commands,Medium,Bug 🐞,Not Started,,,,,,,0,0,"April 10, 2023 12:42 PM",,,,,,,,
"When showing command stats in profile, the app crashes (see image)",Critical 🔥,Bug 🐞,Complete,Sprint 10,"April 10, 2023 12:35","April 10, 2023 14:52",0.7,"An object (command stats) is stored inside, and the app does not support that.",8220,2520,5700,"April 10, 2023 4:22 AM",10/04/2023,10/04/2023,,,,,,
Fix app crash when sending a command that is unavailable,Critical 🔥,Bug 🐞,Complete,Sprint 10,"April 10, 2023 3:08","April 10, 2023 4:34",0,Added NoOp command,5160,0,5160,"April 10, 2023 3:07 AM",10/04/2023,10/04/2023,,,,,,
Improve command parsing,Medium,"Improvement 🚀, Refactor 🛠️",Not Started,,,,,,,0,0,"April 10, 2023 2:50 AM",,,,,,,,
Improve blocked users and friends functionality and relationships in db,Low,Refactor 🛠️,Not Started,,,,,,,0,0,"April 10, 2023 2:40 AM",,,,,,,,
Chats with limited number of members,To define,"Idea 🧠, Improvement 🚀",Not Started,,,,,,,0,0,"April 9, 2023 7:06 PM",,,,,,,,
Use Optional<T> in all return types from the repository,High,Refactor 🛠️,Complete,Sprint 11,"May 3, 2023 12:39","May 3, 2023 12:44",0,,300,0,300,"April 9, 2023 6:41 PM",03/05/2023,03/05/2023,,,,,,
Refactor exception handling in controllers with @ControllerAdvice,Medium,Refactor 🛠️,In Progress,Sprint 11,"May 7, 2023 2:31",,,https://reflectoring.io/spring-boot-exception-handling/,,0,0,"April 9, 2023 4:12 PM",07/05/2023,,,,,,,
Create group by every user (private or public),Low,Improvement 🚀,Not Started,,,,,,,0,0,"April 9, 2023 2:40 PM",,,,,,,,
Unread messages balloon notification,Medium,Improvement 🚀,Not Started,,,,,,,0,0,"April 9, 2023 2:31 PM",,,,,,,,
Multiple chat tabs,Medium,Improvement 🚀,Not Started,,,,,,,0,0,"April 9, 2023 2:30 PM",,,,,,,,
Webcam integration,To define,"Idea 🧠, Improvement 🚀",Not Started,,,,,https://primefaces.github.io/primefaces/jsdocs/modules/src_PrimeFaces.Webcam.html,,0,0,"April 8, 2023 2:05 AM",,,,,,,,
Configure the CORS policy when checking connectivity to the bucket,High,Improvement 🚀,Complete,Sprint 10,"April 7, 2023 16:42","April 7, 2023 22:03",1.5,,19260,5400,13860,"April 7, 2023 4:54 PM",07/04/2023,07/04/2023,,,,,,
Fix pdf not showing,Very high,Bug 🐞,Complete,Sprint 10,"April 7, 2023 15:25","April 7, 2023 16:42",0,CORS policy has incorrect AllowedOrigins prop,4620,0,4620,"April 7, 2023 1:54 PM",07/04/2023,07/04/2023,,,,,,
Make a form to get feedback from users,Very high,Research ⛰️,Complete,Sprint 10,"April 6, 2023 16:00","April 8, 2023 16:00",18,,172800,64800,108000,"April 6, 2023 6:57 PM",06/04/2023,08/04/2023,,,,,,
Check run conditions when uploading several images at once when performing the request to the Python API,Very high,Bug 🐞,Complete,Sprint 10,"April 5, 2023 3:43","April 5, 2023 4:06",0,"When uploading 5 nsfw images, in the DB is stored only 4 (in the user nsfw_count column).
https://stackoverflow.com/questions/30346882/do-synchronized-java-methods-queue-calls",1380,0,1380,"April 5, 2023 3:08 AM",05/04/2023,05/04/2023,,,,,,
"If user is blocked, do not allow to enter the app",High,Improvement 🚀,Complete,Sprint 10,"April 5, 2023 4:10","April 5, 2023 4:20",0,Very easy. Added a single check in the login endpoint and a pretty format,600,0,600,"April 5, 2023 3:05 AM",05/04/2023,05/04/2023,,,,,,
"When sending a server message, the type must be a generic one.",High,Refactor 🛠️,Complete,Sprint 10,"April 5, 2023 13:00","April 5, 2023 13:12",,Create a constant and update all usages of the createMessage function,720,0,720,"April 5, 2023 2:33 AM",05/04/2023,05/04/2023,,,,,,
Add more CI steps for testing,Medium,"CI/CD 🏛️, Improvement 🚀, Test 🧪",Complete,Sprint 10,"March 30, 2023 13:56","March 30, 2023 15:15",0.5,,4740,1800,2940,"March 30, 2023 1:54 PM",30/03/2023,30/03/2023,,,,,,
Prepare environment to perform frontend tests,High,"Configuration ⚙️, Test 🧪",Complete,Sprint 10,"March 30, 2023 1:00","March 30, 2023 1:10",0,Simple jest execution,600,0,600,"March 29, 2023 8:45 PM",30/03/2023,30/03/2023,,,,,,
Age verification,Low,Improvement 🚀,Not Started,,,,,,,0,0,"March 23, 2023 5:36 PM",,,,,,,,
Kick the users out of the session when they upload the last NSFW content,High,Improvement 🚀,Complete,Sprint 10,"April 5, 2023 2:03","April 5, 2023 3:29",0,,5160,0,5160,"March 21, 2023 11:56 PM",05/04/2023,05/04/2023,,,,,,
Set to users the block date when several NSFW content is uploaded to chats,High,Improvement 🚀,Complete,Sprint 10,"March 21, 2023 23:00","March 21, 2023 23:56",0,,3360,0,3360,"March 21, 2023 11:16 PM",21/03/2023,21/03/2023,,,,,,
Fix not showing the images when uploading,Very high,Bug 🐞,Complete,Sprint 10,"April 6, 2023 15:57","April 6, 2023 16:20",0,Resources are uploaded to the wrong folder in S3 (uppercase) and should be stored inside the lowercase ones,1380,0,1380,"March 14, 2023 3:50 AM",06/04/2023,06/04/2023,,,,,,
"When users upload several NSFW images, block them for a period of time",Medium,"Improvement 🚀, Task 🔨",Reference,Sprint 10,,,0,Set to users the block date when several NSFW content is uploaded to chats (https://www.notion.so/Set-to-users-the-block-date-when-several-NSFW-content-is-uploaded-to-chats-9d9e4a73829d4a089ee2fcdfec9bea21?pvs=21) ,,0,0,"March 14, 2023 2:50 AM",,,,,,,,
Migrate nsfw service to Python,Critical 🔥,"Bug 🐞, Refactor 🛠️",Complete,Sprint 10,"March 12, 2023 13:57","March 14, 2023 2:49",24,"https://pythonspeed.com/articles/activate-virtualenv-dockerfile/
https://stackoverflow.com/questions/30215830/dockerfile-copy-keep-subdirectory-structure
Needed to set the Internet Address to 0.0.0.0 to be able to receive external requests",132720,86400,46320,"March 12, 2023 1:56 PM",12/03/2023,14/03/2023,,,,,,
Improve friends functionality to not add symmetric rows to DB,Medium,"Improvement 🚀, Refactor 🛠️",Not Started,,,,,"To represent friends, with only one relation suffices (or look for other techniques).",,0,0,"March 12, 2023 3:19 AM",,,,,,,,
Report user form and send a notification to administrators of a new report.,Medium,Improvement 🚀,Not Started,,,,,,,0,0,"March 12, 2023 2:12 AM",,,,,,,,
Dockerize rs-chat-utils services,Very high,"Configuration ⚙️, Improvement 🚀",Complete,Sprint 10,"March 11, 2023 17:45","March 14, 2023 3:14",36,"https://github.com/tensorflow/tfjs/issues/1425#issuecomment-596197404
I have to build tensorflow from source or downgrade to 1.5. After compiling from source (6.7 h) found version https://github.com/yaroslavvb/tensorflow-community-wheels/issues/217",206940,129600,77340,"March 11, 2023 6:51 PM",11/03/2023,14/03/2023,,,,,,
Send requests from the FileController to the utility NSFW service,High,"Improvement 🚀, Security 🔒",Complete,Sprint 09,"March 11, 2023 2:35","March 11, 2023 5:34",0,"Store the file before the request and send the path to the NSFW service, remove multer lib from the service, since it is not used. For making the requests RestTemplate is useful.",10740,0,10740,"March 11, 2023 5:33 AM",11/03/2023,11/03/2023,,,,,,
"When the chat passes 1 month, delete the history",Medium,"Idea 🧠, Improvement 🚀",Not Started,,,,,,,0,0,"February 28, 2023 5:48 PM",,,,,,,,
Integrate the Keras NSFW model to Java (new service or integrated in the app),Low,"Idea 🧠, Improvement 🚀",Cancelled,,,"March 11, 2023 2:30",,"https://towardsdatascience.com/deploying-keras-deep-learning-models-with-java-62d80464f34a
",,0,0,"February 27, 2023 1:50 AM",,11/03/2023,,,,,,
Single IntelliJ project with all modules inside,High,Configuration ⚙️,Complete,Sprint 09,"February 25, 2023 0:29","February 25, 2023 0:42",0,Import as modules and that’s it,780,0,780,"February 25, 2023 12:29 AM",25/02/2023,25/02/2023,,,,,,
For image detection use nsfwjs backend lib to use the IA model,High,Improvement 🚀,Complete,Sprint 09,"February 25, 2023 1:40","February 25, 2023 23:26",12,"https://www.npmjs.com/package/nsfwjs#node-js-app
https://github.com/tensorflow/tfjs/issues/7273#issuecomment-1384413639",78360,43200,35160,"February 25, 2023 12:16 AM",25/02/2023,25/02/2023,,,,,,
Use magic-8-ball api for that chat command,Medium,"Improvement 🚀, Task 🔨",Complete,Sprint 09,"February 25, 2023 1:40","February 25, 2023 19:48",10,https://www.eightballapi.com/docs,65280,36000,29280,"February 25, 2023 12:13 AM",25/02/2023,25/02/2023,,,,,,
